genome	original	gbk_2pc100	gbk_5pc80	gbk_5pc100	gbk_10pc70	gbk_2pc100_degradation	gbk_5pc80_degradation	gbk_5pc100_degradation	gbk_10pc70_degradation
GCA_900315105	5273	5091	5004	4987	4922	3.4515456097098425	5.101460269296416	5.423857386686896	6.656552247297554
GCA_900316265	2400	2292	2258	2258	2211	4.5	5.916666666666667	5.916666666666667	7.875
GCA_900319335	1568	1553	1490	1517	1405	0.9566326530612245	4.974489795918367	3.2525510204081636	10.395408163265305
GCA_900315265	1938	1909	1810	1935	1846	1.4963880288957687	6.604747162022703	0.15479876160990713	4.747162022703819
GCA_900320985	2152	2116	2042	2048	2152	1.6728624535315983	5.111524163568773	4.83271375464684	0.0
GCA_900319965	1187	1166	1132	1108	1076	1.7691659646166806	4.633529907329402	6.655433866891322	9.351305812973884
GCA_900313845	2304	2267	2192	2199	2304	1.6059027777777777	4.861111111111112	4.557291666666666	0.0
GCA_900315795	1443	1387	1404	1365	1443	3.8808038808038807	2.7027027027027026	5.405405405405405	0.0
GCA_900322145	1699	1676	1581	1637	1504	1.353737492642731	6.945261918775751	3.6492054149499706	11.477339611536198
GCA_900320475	1718	1667	1718	1678	1577	2.9685681024447033	0.0	2.3282887077997674	8.20721769499418
GCA_900319095	2106	2055	2022	2027	1966	2.4216524216524213	3.9886039886039883	3.751187084520418	6.647673314339982
GCA_900315985	1714	1688	1604	1656	1579	1.5169194865810969	6.417736289381564	3.38389731621937	7.8763127187864646
GCA_900315725	2033	1995	1955	1908	2033	1.8691588785046727	3.8366945400885393	6.148548942449581	0.0
GCA_900321615	1974	1937	1893	1849	1802	1.8743667679837892	4.103343465045593	6.332320162107397	8.713272543059777
GCA_900315675	3335	3322	3251	3039	3062	0.38980509745127434	2.5187406296851576	8.875562218890556	8.185907046476762
GCA_900319955	1321	1279	1254	1292	1129	3.1794095382286147	5.071915215745648	2.195306585919758	14.53444360333081
GCA_900321915	2068	1998	1970	1964	2068	3.3849129593810443	4.738878143133462	5.029013539651837	0.0
GCA_900320335	2311	2287	2187	2186	2311	1.038511466897447	5.365642578970143	5.4089138900908695	0.0
GCA_900314725	1673	1669	1673	1618	1673	0.23909145248057379	0.0	3.2875074716078903	0.0
GCA_900316455	1970	1958	1943	1924	1792	0.6091370558375634	1.3705583756345179	2.33502538071066	9.035532994923857
GCA_900318425	2451	2416	2451	2302	2287	1.4279885760913913	0.0	6.079151366789066	6.691146470828234
GCA_900315535	2020	1991	2020	1968	1664	1.4356435643564358	0.0	2.5742574257425743	17.62376237623762
GCA_900316555	1804	1784	1759	1680	1635	1.1086474501108647	2.494456762749446	6.873614190687362	9.368070953436806
GCA_900318305	1961	1901	1842	1880	1842	3.0596634370219276	6.068332483426823	4.130545639979602	6.068332483426823
GCA_900317625	2068	2004	1934	1771	1591	3.0947775628626695	6.479690522243714	14.361702127659576	23.065764023210832
GCA_900316615	1612	1587	1612	1430	1612	1.5508684863523574	0.0	11.29032258064516	0.0
GCA_900316355	2503	2461	2287	2196	2287	1.6779864163004392	8.629644426687975	12.265281662005593	8.629644426687975
GCA_900319385	2155	2155	2009	2078	1846	0.0	6.7749419953596295	3.5730858468677495	14.338747099767982
GCA_900315235	1882	1812	1815	1838	1882	3.7194473963868226	3.5600425079702442	2.3379383634431457	0.0
GCA_900317555	2088	2078	2033	1932	2002	0.4789272030651341	2.6340996168582373	7.471264367816093	4.118773946360153
GCA_900320575	1483	1454	1483	1429	1483	1.9554956169925826	0.0	3.6412677006068783	0.0
GCA_900316835	2396	2321	2347	2348	2257	3.1302170283806343	2.0450751252086814	2.003338898163606	5.801335559265442
GCA_900318945	2352	2303	2178	2232	2039	2.083333333333333	7.3979591836734695	5.1020408163265305	13.3078231292517
GCA_900317385	1624	1606	1522	1573	1624	1.1083743842364533	6.280788177339902	3.140394088669951	0.0
GCA_900321145	1928	1891	1928	1841	1742	1.9190871369294606	0.0	4.512448132780083	9.647302904564317
GCA_900318725	1897	1894	1802	1846	1751	0.158144438587243	5.007907221929362	2.688455455983131	7.696362677912494
GCA_900315195	1980	1924	1857	1885	1771	2.8282828282828283	6.212121212121212	4.797979797979798	10.555555555555555
GCA_900321335	2009	1976	1879	1921	1763	1.642608262817322	6.470881035340965	4.380288700846193	12.244897959183673
GCA_900321575	1317	1287	1269	1267	1132	2.277904328018223	3.644646924829157	3.7965072133637054	14.047076689445708
GCA_900313275	2360	2324	2208	2223	2360	1.5254237288135595	6.440677966101695	5.805084745762712	0.0
GCA_900317185	1851	1807	1768	1752	1698	2.3770934629929767	4.484062668827661	5.348460291734198	8.26580226904376
GCA_900314105	2552	2506	2490	2403	2282	1.8025078369905956	2.4294670846394983	5.838557993730407	10.579937304075235
GCA_900318105	1333	1316	1204	1222	1221	1.275318829707427	9.67741935483871	8.32708177044261	8.402100525131283
GCA_900314495	2489	2469	2489	2363	2489	0.8035355564483728	0.0	5.062274005624749	0.0
GCA_900318485	2036	2003	1928	1939	1833	1.6208251473477406	5.304518664047151	4.764243614931238	9.970530451866406
GCA_900318705	3206	3145	3026	3057	3206	1.9026824703680598	5.6144728633811605	4.647535870243294	0.0
GCA_900313915	2262	2243	2262	2092	2009	0.8399646330680812	0.0	7.515473032714412	11.184792219274978
GCA_900314395	2043	2001	1826	1958	1898	2.0558002936857562	10.621634850709741	4.16054821341165	7.097405775819873
GCA_900318635	1669	1629	1572	1595	1669	2.396644697423607	5.811863391252247	4.433792690233672	0.0
GCA_900314945	2253	2221	2133	2046	2253	1.420328450954283	5.326231691078561	9.187749667110518	0.0
GCA_900315755	2275	2260	2212	2177	2083	0.6593406593406593	2.769230769230769	4.3076923076923075	8.43956043956044
GCA_900319345	2026	2015	2026	1925	1834	0.5429417571569595	0.0	4.985192497532083	9.47680157946693
GCA_900319045	1929	1904	1929	1891	1742	1.2960082944530846	0.0	1.9699326075686883	9.694142042509073
GCA_900316855	2337	2278	2218	2186	2107	2.5246041934103554	5.0919982884039365	6.46127513906718	9.841677364142063
GCA_900316305	2688	2646	2566	2590	2471	1.5625	4.538690476190476	3.6458333333333335	8.072916666666668
GCA_900316535	1810	1684	1747	1717	1810	6.961325966850829	3.4806629834254146	5.138121546961326	0.0
GCA_900316205	2506	2405	2440	2404	2506	4.030327214684756	2.6336791699920195	4.07023144453312	0.0
GCA_900314645	2709	2654	2442	2586	2491	2.0302694721299375	9.856035437430787	4.540420819490587	8.047249907715024
GCA_900318595	2274	2200	2141	2190	2070	3.2541776605101145	5.8487247141600704	3.6939313984168867	8.970976253298153
GCA_900318065	2540	2485	2540	2478	2342	2.1653543307086616	0.0	2.440944881889764	7.7952755905511815
GCA_900320615	1839	1803	1794	1765	1659	1.957585644371941	2.4469820554649266	4.023926046764546	9.787928221859707
GCA_900317255	1910	1870	1843	1759	1910	2.094240837696335	3.507853403141361	7.9057591623036645	0.0
GCA_900314845	2108	2014	2057	1749	1856	4.459203036053131	2.4193548387096775	17.0303605313093	11.954459203036052
GCA_900317075	1733	1715	1733	1649	1733	1.03866128101558	0.0	4.847085978072706	0.0
GCA_900313625	1348	1331	1348	1278	1216	1.261127596439169	0.0	5.192878338278932	9.792284866468842
GCA_900314035	1683	1658	1612	1599	1683	1.4854426619132501	4.21865715983363	4.991087344028521	0.0
GCA_900313645	1485	1442	1430	1408	1351	2.8956228956228958	3.7037037037037033	5.185185185185185	9.023569023569024
GCA_900319775	1805	1773	1677	1637	1554	1.772853185595568	7.091412742382272	9.307479224376731	13.905817174515237
GCA_900319305	2581	2553	2456	2370	2337	1.084850833010461	4.843084075939559	8.175125920185975	9.453700116234018
GCA_900315515	2266	2202	2180	2188	2266	2.824360105913504	3.795233892321271	3.442188879082083	0.0
GCA_900313385	1616	1582	1545	1545	1493	2.103960396039604	4.393564356435643	4.393564356435643	7.611386138613861
GCA_900315765	2989	2978	2875	2854	2620	0.36801605888256944	3.813984610237538	4.516560722649716	12.345265975242556
GCA_900313105	953	926	912	829	953	2.8331584470094437	4.3022035676810075	13.011542497376706	0.0
GCA_900318085	2689	2679	2510	2563	2436	0.3718854592785422	6.656749721085905	4.685756786909632	9.408702119747119
GCA_900321655	1819	1753	1743	1715	1693	3.628367234744365	4.1781198460692694	5.7174271577789995	6.926882902693787
GCA_900320515	1983	1963	1917	1916	1747	1.0085728693898133	3.3282904689863844	3.3787191124558746	11.901159858799797
GCA_900315185	2286	2270	2199	2129	1936	0.699912510936133	3.805774278215223	6.867891513560805	15.310586176727908
GCA_900318935	3409	3333	3242	3251	3409	2.2293927838075684	4.898797301261367	4.634790261073628	0.0
GCA_900317735	2869	2850	2710	2731	2577	0.6622516556291391	5.542000697107006	4.810038340885326	10.177762286510978
GCA_900320155	2145	2066	2055	2053	1858	3.682983682983683	4.195804195804196	4.2890442890442895	13.37995337995338
GCA_900321005	1845	1755	1754	1807	1769	4.878048780487805	4.932249322493225	2.059620596205962	4.119241192411924
GCA_900315385	1859	1788	1805	1725	1684	3.8192576654115116	2.9047875201721354	7.20817643894567	9.413663259817106
GCA_900313565	1830	1809	1750	1736	1647	1.1475409836065573	4.371584699453552	5.136612021857923	10.0
GCA_900317395	1942	1924	1845	1800	1783	0.9268795056642637	4.994850669412976	7.312049433573635	8.187435633367663
GCA_900319735	2293	2239	2168	2179	1990	2.3549934583515046	5.451373746184038	4.971652856519843	13.21412996075011
GCA_900322195	2136	2096	2056	1991	2136	1.8726591760299627	3.7453183520599254	6.788389513108614	0.0
GCA_900316075	2181	2136	1989	2105	1871	2.063273727647868	8.803301237964236	3.484640073360844	14.213663457129758
GCA_900314955	3209	3128	3042	3056	3209	2.5241508258024306	5.204113430975381	4.767840448737925	0.0
GCA_900315875	2063	2048	1949	1957	1870	0.7270964614638876	5.525933107125545	5.138148327678139	9.355307804168685
GCA_900318095	3688	3625	3504	3459	3688	1.7082429501084597	4.989154013015185	6.209327548806941	0.0
GCA_900317765	2681	2629	2681	2586	2421	1.939574785527788	0.0	3.543453935098843	9.697873927638941
GCA_900314535	2246	2140	2106	2067	2058	4.719501335707925	6.233303650934995	7.969723953695458	8.370436331255565
GCA_900318875	2570	2548	2426	2453	2570	0.8560311284046693	5.603112840466927	4.552529182879377	0.0
GCA_900318985	1682	1652	1602	1563	1558	1.78359096313912	4.756242568370987	7.074910820451843	7.37217598097503
GCA_900319135	1787	1764	1713	1668	1669	1.2870733072188025	4.141018466703973	6.659205372132066	6.603245663122552
GCA_900316655	2976	2925	2976	2755	2976	1.7137096774193548	0.0	7.426075268817205	0.0
GCA_900320605	1960	1906	1960	1899	1960	2.7551020408163267	0.0	3.1122448979591835	0.0
GCA_900321275	2389	2314	2389	2260	2062	3.1393888656341566	0.0	5.3997488488907495	13.687735454164923
GCA_900321345	1736	1692	1647	1661	1523	2.5345622119815667	5.126728110599078	4.320276497695852	12.26958525345622
GCA_900316785	2925	2874	2691	2841	2598	1.7435897435897436	8.0	2.871794871794872	11.179487179487179
GCA_900320995	1994	1960	1994	1884	1805	1.7051153460381143	0.0	5.516549648946841	9.478435305917753
GCA_900319315	2272	2257	2098	2168	1938	0.6602112676056338	7.658450704225352	4.577464788732395	14.700704225352112
GCA_900315445	2283	2222	2157	2198	2123	2.671922908453789	5.519053876478318	3.7231712658782308	7.0083223828296095
GCA_900321095	1965	1942	1836	1873	1965	1.1704834605597965	6.564885496183207	4.681933842239186	0.0
GCA_900314685	2072	2034	2072	1904	1805	1.833976833976834	0.0	8.108108108108109	12.886100386100384
GCA_900322215	1360	1341	1338	1223	1142	1.397058823529412	1.6176470588235297	10.073529411764707	16.029411764705884
GCA_900318905	1693	1664	1693	1558	1486	1.7129356172474897	0.0	7.974010632014177	12.226816302421737
GCA_900313315	1788	1764	1732	1717	1632	1.342281879194631	3.131991051454139	3.9709172259507834	8.724832214765101
GCA_900321435	2478	2420	2378	2373	2199	2.340597255851493	4.035512510088781	4.23728813559322	11.259079903147699
GCA_900317125	2507	2437	2397	2467	2304	2.792181890706023	4.387714399680894	1.5955325089748704	8.097327483047467
GCA_900320595	2002	1979	1820	1920	1760	1.1488511488511488	9.090909090909092	4.095904095904096	12.087912087912088
GCA_900317675	1894	1856	1806	1781	1894	2.0063357972544877	4.646251319957761	5.966209081309398	0.0
GCA_900314805	1900	1862	1825	1851	1751	2.0	3.9473684210526314	2.5789473684210527	7.842105263157895
GCA_900314015	1633	1599	1583	1523	1633	2.0820575627679117	3.061849357011635	6.736068585425597	0.0
GCA_900317065	1834	1808	1739	1782	1834	1.4176663031624863	5.179934569247546	2.8353326063249726	0.0
GCA_900314325	1428	1404	1351	1368	1428	1.680672268907563	5.392156862745098	4.201680672268908	0.0
GCA_900316805	2131	2105	2131	1993	1952	1.2200844673862037	0.0	6.475832942280619	8.399812294697325
GCA_900318885	2758	2741	2605	2674	2574	0.6163886874546773	5.547498187092096	3.0456852791878175	6.671501087744742
GCA_900314935	2623	2622	2551	2373	2298	0.03812428516965307	2.744948532215021	9.531071292413268	12.390392680137248
GCA_900321715	1706	1691	1696	1603	1576	0.8792497069167644	0.5861664712778429	6.0375146541617815	7.620164126611957
GCA_900313255	2008	1957	1931	1909	1785	2.539840637450199	3.8346613545816735	4.930278884462151	11.105577689243027
GCA_900313455	1959	1920	1959	1870	1715	1.9908116385911179	0.0	4.543134252169474	12.455334354262378
GCA_900313855	1817	1770	1726	1699	1652	2.5866813428728674	5.008255365987893	6.494221243808475	9.080902586681344
GCA_900317985	1763	1742	1619	1676	1632	1.191151446398185	8.167895632444697	4.934770277935337	7.430516165626773
GCA_900313695	1193	1169	1193	1149	1193	2.0117351215423303	0.0	3.6881810561609383	0.0
GCA_900313805	1630	1603	1630	1537	1492	1.6564417177914113	0.0	5.705521472392638	8.466257668711656
GCA_900319655	1495	1460	1422	1450	1338	2.341137123745819	4.882943143812709	3.0100334448160537	10.501672240802677
GCA_900317495	1891	1887	1891	1832	1786	0.21152829190904282	0.0	3.120042305658382	5.552617662612374
GCA_900313265	1803	1768	1718	1701	1803	1.9412090959511925	4.714364947310039	5.657237936772046	0.0
GCA_900313665	2145	2139	2069	2133	1995	0.27972027972027974	3.5431235431235435	0.5594405594405595	6.993006993006993
GCA_900318435	2138	2126	2138	2084	2138	0.5612722170252572	0.0	2.525724976613658	0.0
GCA_900314085	2045	1984	1988	1980	1884	2.9828850855745723	2.787286063569682	3.1784841075794623	7.872860635696821
GCA_900316225	1983	1904	1828	1896	1841	3.983862834089763	7.816439737771054	4.387291981845689	7.160867372667676
GCA_900314675	2110	2042	2020	2023	1826	3.2227488151658767	4.265402843601896	4.1232227488151665	13.459715639810426
GCA_900314735	1778	1765	1711	1690	1778	0.7311586051743533	3.768278965129359	4.949381327334083	0.0
GCA_900316115	2488	2455	2413	2377	2279	1.3263665594855305	3.014469453376206	4.461414790996784	8.40032154340836
GCA_900319785	1565	1542	1491	1494	1386	1.4696485623003195	4.728434504792332	4.536741214057508	11.437699680511182
GCA_900318965	1645	1607	1565	1592	1454	2.310030395136778	4.86322188449848	3.221884498480243	11.610942249240122
GCA_900322065	1748	1708	1655	1675	1574	2.2883295194508007	5.320366132723112	4.176201372997712	9.954233409610984
GCA_900316255	2443	2436	2413	2327	2291	0.28653295128939826	1.2279983626688498	4.748260335652886	6.2218583708555055
GCA_900321745	2029	1999	2029	1937	2029	1.4785608674223756	0.0	4.534253326761951	0.0
GCA_900321965	2356	2192	2206	2225	2164	6.960950764006792	6.36672325976231	5.560271646859083	8.149405772495756
GCA_900321065	1758	1713	1758	1670	1758	2.5597269624573378	0.0	5.005688282138794	0.0
GCA_900314835	1652	1632	1571	1587	1652	1.2106537530266344	4.903147699757869	3.9346246973365617	0.0
GCA_900316185	1908	1880	1843	1847	1908	1.4675052410901468	3.4067085953878404	3.19706498951782	0.0
GCA_900315245	2608	2608	2595	2598	2440	0.0	0.49846625766871167	0.3834355828220859	6.441717791411043
GCA_900318775	2180	2142	2095	2046	1850	1.743119266055046	3.89908256880734	6.146788990825688	15.137614678899084
GCA_900320795	2481	2446	2481	2347	2297	1.4107214832728738	0.0	5.401047964530431	7.416364369205965
GCA_900318805	1819	1760	1819	1718	1819	3.2435404068169325	0.0	5.552501374381529	0.0
GCA_900319085	2609	2569	2497	2506	2355	1.5331544653123803	4.292832502874664	3.947872748179379	9.735530854733614
GCA_900319325	1256	1222	1256	1187	1128	2.7070063694267517	0.0	5.493630573248407	10.191082802547772
GCA_900315845	1425	1424	1425	1425	1425	0.07017543859649122	0.0	0.0	0.0
GCA_900322045	1503	1483	1450	1434	1503	1.330671989354624	3.526280771789754	4.590818363273453	0.0
GCA_900317475	1927	1885	1818	1866	1927	2.179553710430721	5.656460819927348	3.1655422937208098	0.0
GCA_900317925	1861	1800	1861	1767	1649	3.277807630306287	0.0	5.051047823750672	11.391724879097259
GCA_900321815	2275	2226	2115	2178	2052	2.1538461538461537	7.032967032967033	4.263736263736264	9.802197802197803
GCA_900314145	2822	2758	2702	2690	2822	2.2678951098511693	4.252303330970943	4.677533664068037	0.0
GCA_900313555	1370	1354	1370	1299	1258	1.167883211678832	0.0	5.182481751824818	8.175182481751825
GCA_900319795	1711	1712	1654	1692	1586	-0.058445353594389245	3.331385154880187	1.1104617182933958	7.305669199298656
GCA_900318755	1899	1862	1899	1829	1899	1.9483938915218535	0.0	3.686150605581885	0.0
GCA_900320315	1861	1847	1818	1828	1861	0.7522837184309511	2.31058570660935	1.7732401934443847	0.0
GCA_900314425	1874	1820	1783	1813	1676	2.88153681963714	4.855923159018143	3.255069370330843	10.56563500533618
GCA_900319035	2146	2090	2009	1927	2146	2.60950605778192	6.383970177073625	10.205032618825722	0.0
GCA_900317435	2138	2089	2046	1993	1972	2.291861552853134	4.303086997193639	6.7820392890551915	7.764265668849392
GCA_900314155	2350	2319	2350	2219	2072	1.3191489361702127	0.0	5.574468085106383	11.829787234042554
GCA_900317905	1990	1951	1918	1943	1807	1.9597989949748744	3.618090452261306	2.3618090452261304	9.195979899497488
GCA_900314885	2419	2343	2393	2396	2419	3.141794129805705	1.0748243075651096	0.950806118230674	0.0
GCA_900320945	1616	1590	1527	1507	1433	1.608910891089109	5.507425742574258	6.7450495049504955	11.324257425742575
GCA_900313685	1985	1952	1880	1895	1809	1.6624685138539042	5.289672544080604	4.534005037783375	8.866498740554157
GCA_900322005	2085	2077	2041	1985	1887	0.38369304556354916	2.1103117505995206	4.796163069544365	9.496402877697841
GCA_900321025	1664	1641	1562	1594	1458	1.3822115384615383	6.129807692307692	4.206730769230769	12.379807692307693
GCA_900315495	2378	2288	2246	2306	2378	3.7846930193439863	5.550883095037848	3.027754415475189	0.0
GCA_900313755	2765	2737	2580	2720	2637	1.0126582278481013	6.6907775768535265	1.62748643761302	4.6292947558770345
GCA_900315615	1870	1817	1818	1753	1714	2.8342245989304815	2.7807486631016043	6.256684491978609	8.342245989304812
GCA_900321585	1488	1462	1424	1420	1367	1.747311827956989	4.301075268817205	4.56989247311828	8.131720430107526
GCA_900321085	1284	1273	1234	1150	1201	0.8566978193146416	3.894080996884735	10.43613707165109	6.46417445482866
GCA_900320035	1184	1144	1113	1114	1036	3.3783783783783785	5.996621621621621	5.912162162162162	12.5
GCA_900316295	2034	2003	1813	1937	1881	1.5240904621435596	10.865290068829891	4.768928220255654	7.52212389380531
GCA_900317365	2843	2798	2730	2738	2579	1.5828350334154064	3.974674639465353	3.693281744635948	9.285965529370383
GCA_900315955	2621	2571	2456	2546	2621	1.907668828691339	6.295307134681419	2.861503243037009	0.0
GCA_900322125	1578	1549	1489	1469	1578	1.837769328263625	5.640050697084917	6.907477820025348	0.0
GCA_900320125	2339	2281	2339	2294	2028	2.4796921761436512	0.0	1.923899102180419	13.296280461735785
GCA_900318465	3071	2987	2992	2823	2559	2.7352653858677956	2.5724519700423314	8.075545424943014	16.672093780527515
GCA_900315285	1948	1900	1770	1860	1710	2.4640657084188913	9.137577002053387	4.517453798767967	12.217659137577003
GCA_900316735	2612	2583	2543	2465	2612	1.110260336906585	2.641653905053599	5.627871362940275	0.0
GCA_900313655	1670	1635	1587	1609	1478	2.095808383233533	4.970059880239521	3.6526946107784433	11.497005988023952
GCA_900320195	1678	1631	1624	1593	1467	2.800953516090584	3.2181168057210967	5.065554231227652	12.574493444576879
GCA_900319835	2498	2452	2368	2347	2292	1.8414731785428344	5.204163330664532	6.044835868694956	8.246597277822259
GCA_900316695	1951	1918	1846	1859	1951	1.6914402870322913	5.381855458739109	4.715530497180933	0.0
GCA_900321555	2163	2120	2163	2054	1941	1.9879796578825704	0.0	5.039297272306982	10.263522884882107
GCA_900315645	1610	1575	1522	1451	1447	2.1739130434782608	5.46583850931677	9.875776397515528	10.124223602484472
GCA_900321505	2151	2115	2031	2037	1970	1.6736401673640167	5.578800557880056	5.299860529986053	8.414690841469085
GCA_900320835	2182	2140	2075	2081	2182	1.924839596700275	4.903758020164986	4.62878093492209	0.0
GCA_900317995	1879	1844	1810	1740	1691	1.8626929217668973	3.6721660457690266	7.397551889302821	10.005321979776477
GCA_900316335	2016	1966	2016	1905	2016	2.4801587301587302	0.0	5.5059523809523805	0.0
GCA_900319295	2260	2175	2189	2157	2260	3.761061946902655	3.1415929203539825	4.557522123893806	0.0
GCA_900318685	2959	2930	2812	2838	2959	0.9800608313619465	4.967894558972626	4.089219330855019	0.0
